beneficiary_id,full_name,national_id_no,mobile_number,email,dob,gender,county,sub_county,ward,address,enrollment_date,status,household_size,employment_status,monthly_income,support_type,beneficiary_category
PLUS-000001,catherine mudai,51593222,254 705 091 11,catherine.mutai@yahoo.com,1974-04-15,FEMALE,Mombasa,Likoni,,"Plot 431, Lane 16, Kilimani",Unknown,active,4,Retired,19000,Business Grant,Widow
PLUS-000002,haggai kemei,22553839,254 786 152 89,haggai.kemei@gmail.com,1959-07-25,FEMALE,Nakuru,Nakuru Town East,Kivumbini,"Plot 172, Lane 5, Mombasa Road",2025-11-06,active,5,Employed,34000,Business Grant,Youth
PLUS-000003,auma naliaka namukhula,47871627,Not Provided,namukhulaauma@hotmail.com,04-Aug-1990,F,Nairobi,Westlands,Kitisuru,"plot 28, lane 5, mombasa road",01/13/2024,inactive,4,Self-Employed,16500,Food Support,Youth
PLUS-000004,gilbert mutwiri,19160128,254 788 987 15,gilbert.mutwiri@yahoo.com,1962-07-24,FEMALE,Trans Nzoia,Endebess,Matumbei,"House 400, Kiambu Road Street, Mombasa Road",2025-08-18,inactive,3,Employed,48000,Cash Transfer,Widow
PLUS-000005,micah mwrania,17134621,254 773 858 30,micahmwania@hotmail.com,07-07-1999,M,Nakuru,Molo,Elburgon,"PLOT 312, LANE 14, THIKA SUPERHIGHWAY",2026-04-13,pending,6,Retired,48000,Medical Cover,Elderly
PLUS-000006,kimani saidimu,50216471,254 754 585 87,kimani.saidimu@gmail.com,1964-10-19,MALE,Nyeri,Mathira,Magutu,"Plot 345, Lane 5, Ruiru",2026-01-08,active,2,Employed,5000,Education Support,Youth
PLUS-000007,rimberia nioka,12782247,+254 798 979 15,rimberia.nzioka@yahoo.com,1991-04-24,FEMALE,Kilifi,Rabai,Kambe/Ribe,"Plot 162, Lane 2, River Road",2023-09-22,active,5,Retired,76500,Business Grant,Elderly
PLUS-000008,simiyu mumo wangari,60057264,254 118 092 53,simiyu.wangari@gmail.com,1966-10-09,MALE,Bomet,Bomet East,Merigi,"House 72, Limuru Street, Karen",30/06/2025,active,3,Employed,35500,Business Grant,PWD
PLUS-000009,ombati anthony mwirigi,65 767 719,254 793 934 15,ombati.mwirigi@yahoo.com,2000-09-13,FEMALE,Meru,Tigania East,Thangatha,"House 278, Westlands Avenue, Kangundo",01 Dec 2024,inactive,1,Retired,62000,Education Support,Orphan
PLUS-000010,micah thomas ndunge,80647142,254 107 374 30,Unknown,2004-08-18,FEMALE,Bungoma,Kabuchai,Bwake/Luuya,"House 111, Outering Road, Langata",,Unknown,1,Employed,29000,Medical Cover,Vulnerable
PLUS-000011,c. j. gitonga,32185945,254 773 009 31,caroline.gitonga@gmail.com,1982-08-05,FEMALE,Bomet,Konoin,Embomos,"Plot 78, Lane 19, Juja",2025-12-21,active,4,Employed,137000,Medical Cover,PWD
PLUS-000012,muthuri salim,10292428,254 729 155 65,muthuri.salim@yahoo.com,1984-12-26,FEMALE,Bungoma,Kimilili,Kibingei,"Plot 373, Lane 3, Uhuru",20 May 2025,pending,4,Student,9000,Business Grant,Youth
PLUS-000013,brenda trsuma,35100154,254 737 391 50,brenda.tsuma@outlook.com,1993-11-05,FEMALE,Kakamega,Shinyalu,Isukha North,"House 149, Limuru Drive, Thika Superhighway",25-Dec-2024,inactive,3,Employed,9500,Business Grant,Youth
PLUS-000014,onsongo mutua,99175850,254 756 895 76,onsongo.mutua@outlook.com,1976-04-09,MALE,Kiambu,Kiambu,Kihara,"Plot 167, Lane 4, Kasarani",18-Mar-23,active,6,Self-Employed,60500,Cash Transfer,Elderly
PLUS-000015,nicholas kenei,26947996,Not Provided,nicholas.kenei@hotmail.com,1983-12-24,MALE,Mombasa,Mvita,Mji wa Kale,"Plot 431, Lane 5, Juja",Not Provided,inactive,,Unemployed,70500,Business Grant,Orphan
PLUS-000016,wamalwa simon bett,29438830,254 721 787 51,wamalwa.bett@gmail.com,2004-01-10,MALE,Kiambu,Githunguri,Githiga,"Plot 376, Lane 17, Mombasa Road",25-07-2025,pending,5,Retired,72500,Food Support,Vulnerable
PLUS-000017,beatrice naisula njuguna,13 254 023,+25473762233,beatrice.njuguna@outlook.com,1985-02-27,FEMALE,Bungoma,Webuye West,Matulo,"Plot 40, Lane 14, Parklands",23-05-2023,inactive,2,Unemployed,17500,Education Support,Widow
PLUS-000018,aaron langat,40930568,254 766 248 67,aaron.langat@gmail.com,1995-05-22,FEMALE,Nakuru,Kuresoi South,Amalo,"House 477, Kitisuru Street, River Road",03-Jan-2023,pending,4,Self-Employed,47000,Business Grant,PWD
PLUS-000019,lois opiyo,46598410,254 705 269 62,lois.opiyo@gmail.com,1979-05-09,MALE,Mombasa,Mvita,Tononoka,"Plot 116, Lane 11, Langata",22-06-2024,active,3,Retired,33500,Education Support,Orphan
PLUS-000020,gathoni mutisya macharia,31216439,254 118 901 57,gathoni.macharia@outlook.com,1992-11-05,MALE,Trans Nzoia,Cherangany,Kaplamai,"House 145, Outering Drive, Ruiru",2023-08-01,active,3,Employed,19000,Cash Transfer,Youth
PLUS-000021,wachira ondieki wanyoike,12674689,254 786 012 07,wachira.wanyoike@gmail.com,1957-03-11,FEMALE,Meru,North Imenti,Mweronkanga,"House 301, Kitisuru Street, Kiambu",07 May 2023,inactive,1,Unemployed,43000,Medical Cover,Elderly
PLUS-000022,chepkirui rose jepkorir,72878778,254 767 220 33,chepkirui.jepkorir@outlook.com,1990-03-27,FEMALE,Kakamega,Butere,Marama South,"House 461, Tom Mboya Drive, Kitisuru",2026-03-28,inactive,8,Unemployed,17000,Education Support,Vulnerable
PLUS-000023,jacqueline naliaka,15598844,254 748 706 78,jacqueline.naliaka@hotmail.com,1998-10-27,MALE,KIAMBU,KIKUYU,KIKUYU,"House 359, Kangundo Drive, Likoni",31/12/2026,inactive,3,Self-Employed,30500,Food Support,Widow
PLUS-000024,kilonzo omomdi,20548786,+254 792-713-19,kilonzo.omondi@gmail.com,1999-04-27,MALE,Mombasa,Mvita,Tononoka,"Plot 254, Lane 12, Athi River",04-08-2023,pending,1,Retired,12500,Cash Transfer,Youth
PLUS-000025,ann jebaet,15971136,254 752 188 96,ann.jebet@gmail.com,2000-01-08,MALE,Trans Nzoia,Kiminini,Hospital,"Plot 161, Lane 5, Likoni",17-09-2026,active,5,Employed,42500,Cash Transfer,Vulnerable
PLUS-000026,opiyo musalia,23488183,254 733 320 90,opiyo.musalia@yahoo.com,,FEMALE,Nyeri,Mukurweini,Rugi,"Plot 245, Lane 7, Mugumo",20-Sep-2026,active,Unknown,Student,30500,Food Support,Youth
PLUS-000027,gathoni awino,58-344-299,254 731 013 23,gathoni.awino@hotmail.com,1966-12-26,FEMALE,Uasin Gishu,Turbo,Kiplombe,"House 110, River Road Road, Argwings Kodhek",04-Feb-2024,inactive,2,Self-Employed,22000,Medical Cover,Widow
PLUS-000028,beatrice kimani kibathi,54343467,254 721 039 74,beatrice.kibathi@gmail.com,1999-10-03,FEMALE,UASIN GISHU,SOY,SEGERO/BARSOMBE,"Plot 141, Lane 5, Kiambu Road",28-Jan-2024,active,3,Employed,63000,Medical Cover,Youth
PLUS-000029,awuor rotichjudy,73913779,254 788 630 24,awuorrotich@gmail.com,1951-08-26,M,Machakos,Masinga,Muthesya,Plot 333 Lane 11 Jogoo,10-11-2026,Pending,4,Employed,30000,Education Support,Widow
PLUS-000030,priscilla catherine odhiambo,46260563,Not Provided,priscilla.odhiambo@gmail.com,1958-03-09,FEMALE,Mombasa,Changamwe,Airport,"Plot 80, Lane 13, Tom Mboya",01-06-2024,active,,Unemployed,13500,Education Support,Orphan
PLUS-000031,caroline gilbert kebaso,56678696,254 703 311 40,caroline.kebaso@yahoo.com,1990-12-28,MALE,,Not Provided,Malakisi/South Kulisiru,"Plot 219, Lane 1, Ngong",11-06-2025,pending,6,Unknown,46500,Cash Transfer,Youth
PLUS-000032,agnes kamau,49311181,254 768 160 37,agnes_kamau@yahoo.com,05 Aug 1977,MALE,Nakuru,Naivasha,Biashara-Naivasha,"HOUSE 245, KILELESHWA DRIVE, OUTERING",05-29-2023,A,3,Student,31000,Education Support,Youth
PLUS-000033,kathure wanjiku atieno,86599891,254 771 483 01,kathure.atieno@hotmail.com,1985-01-05,MALE,Uasin Gishu,Turbo,Tapsagoi,"Plot 187, Lane 13, Kikuyu",23/08/2026,pending,3,Retired,18500,Business Grant,Youth
PLUS-000034,victor ronoo,33875260,Not Provided,victor.rono@yahoo.com,,MALE,,Seme,West Seme,"Plot 287, Lane 5, Kiambu Road",2024-05-01,active,6,Retired,20500,Medical Cover,Vulnerable
PLUS-000035,adhiambo jebet cherono,63096404,Unknown,adhiambo.cherono@gmail.com,1987-10-09,MALE,Kiambu County,,Limuru Central,"Plot 19, Lane 4, Athi River",12/08/2024,active,1,Unemployed,40500,Food Support,Vulnerable
