beneficiary_id,full_name,national_id,phone_number,email,date_of_birth,gender,county,sub_county,ward,address,registration_date,status,school_name,education_level,course,scholarship_amount,academic_year
SCH-000001,Pauline Kilonzo,59359775,011741823,pauline.kilonzo@yahoo.com,1983-02-07,Male,Kiambu,Kiambu,Kihara,"Plot 273, Lane 18, Kikuyu",2024-11-29,Inactive,Rift Valley Institute,Diploma,Business,134385,2022/2023
SCH-000002,Cherotich Alice Wabomba,90190366,073956666,cherotich.wabomba@yahoo.com,1979-01-27,Female,Kilifi,Kaloleni,Kayafungo,"House 411, Ngong Road Street, River Road",2023-12-18,Inactive,Strathmore University,Diploma,Computer Science,177091,2025/2026
SCH-000003,Kiprotich Keter,97033089,070445261,kiprotich.keter@gmail.com,1964-01-01,Female,Nairobi,Westlands,Kitisuru,"Plot 419, Lane 3, Parklands",19-Nov-2025,Inactive,Maseno School,Certificate,Public Health,340927,2025/2026
SCH-000004,Auma Naliaka Namukhula,47871627,011 716 337,auma.namukhula@outlook.com,1990-08-04,Male,Nairobi,Westlands,Kitisuru,"Plot 28, Lane 5, Mombasa Road",07-08-2025,Active,University of Nairobi,Secondary,Journalism,224741,2024/2025
SCH-000005,Kamau Ombati Gichuru,81 404 599,071637223,kamau.gichuru@gmail.com,1976-03-09,Male,Nakuru,Molo,Molo,"Plot 231, Lane 19, Ruaraka",10/09/2023,Pending,Alliance High School,Postgraduate,Education,202410,2025/2026
SCH-000006,Hannah Jonathan Kebaso,33733169,+25411211306,hannah_kebaso@gmail.com,23/08/1997,F,Bungoma,Kanduyi,Buokhwe,"House 337, Kiambu Road Street, Likoni",NULL,INACTIVE,Mang'u High School,DIPLOMA,Public Health,193494,2022- 2023
SCH-000007,ESTHER BAYA,24131536,079651945,esther.baya@yahoo.com,2005-08-15,Male,Mombasa,Changamwe,Changamwe,"Plot 11, Lane 19, Langata",06/01/2025,Pending,Maranda High School,Diploma,Architecture,158169,2023/2024
SCH-000008,Rose Florence Rimberia,68829924,010756480,rose.rimberia@yahoo.com,1981-07-21,Female,Bomet,Chepalungu,Kongasis,"Plot 236, Lane 2, Kitisuru",15/06/2022,Active,Egerton University,Secondary,Business,244198,2022/2023
SCH-000009,Kariuki Baya,62193650,078198157,kariuki.baya@hotmail.com,1973-08-16,Male,Machakos,Matungulu,Matungulu West,"House 318, Langata Avenue, Mugumo",10/15/2022,Active,Maseno University,Undergraduate,Architecture,326084,2022/2023
SCH-000010,Agnes Flora Lubanga,83425325,070862890,agneslubanga@gmail.com,1981-01-11,Female,Nyeri,Kieni,Naromoru/Kiamathaga,"House 365, Ruiru Drive, Argwings Kodhek",2025-03-29,Active,Coast Institute of Technology,Secondary,Computer Science,447729,2023/2024
SCH-000011,Awino Nyambura Chepngeno,31755769,078884490,awino.chepngeno@gmail.com,2000-02-02,Female,Nyeri,Othaya,Iria-ini,"House 72, Thika Superhighway Drive, Ruaraka",14-04-2024,Pending,Alliance High School,Undergraduate,Business,266135,2025/2026
SCH-000012,C. Chepngeno,47684709 ,N/A,charity.chepngeno@gmail.com,1968-10-10,Male,Nairobi County,Lang'ata,N/A,"Plot 1, Lane 12, Langata",NULL,Inactive,Kabianga High School,Diploma,Education,169222,2023/2024
SCH-000013,Thomas Mwirigi Cheruiyot,73906952,070479093,thomas.cheruiyot@gmail.com,1990-11-22,Female,Nairobi,Westlands,Mountain View,"Plot 40, Lane 11, Westlands",06-15-2025,Active,Coast Institute of Technology,Undergraduate,Medicine,228782,2024/2025
SCH-000014,Anna Masinde Bett,20327493,0793-331-25,anna.bett@outlook.com,1983-06-16,Female,Kiambu,Kiambu,Ndumberi,"Plot 243, Lane 1, Outering",2022-05-26,Active,Kenya High School,Undergraduate,Social Work,155726,2024/2025
SCH-000015,Marete Kosgei,56462427,079334523,marete.kosgei@hotmail.com,1997-09-03,Female,Kisumu,Kisumu Central,Nyalenda 'B',"Plot 330, Lane 8, Jogoo",NULL,,Lenana School,,Social Work,241444,2025/2026
SCH-000016,Wafula Namukhula Musila,83904042,075861239,wafula.musila@yahoo.com,1967-09-16,Male,Nakuru,Kuresoi South,Kiptagich,"Plot 278, Lane 1, Ngong Road",06/03/2024,Pending,Kenyatta University,Secondary,Business,241060,2024/2025
SCH-000017,Rose Chhebet,56080521,010387187,rose.chebet@hotmail.com,1991-02-15,Male,Bungoma,Bumula,Bumula,"Plot 209, Lane 9, Westlands",2025-05-08,Active,Rift Valley Institute,Undergraduate,Public Health,384493,2025/2026
SCH-000018,Mwikali Korir,95510088,011357135,mwikali.korir@gmail.com,1977-09-07,Female,N/A,Ainabkoi,Kaptagat,"Plot 366, Lane 13, Kangundo",08-26-2025,Pending,JKUAT,,Business,212966,2025/2026
SCH-000019,Waithera  Nabwire,85701885,071328303,waithera.nabwire@gmail.com,2003-10-16,Male,Nakuru,N/A,Maai Mahiu,"Plot 216, Lane 19, River Road",N/A,Active,Mount Kenya University,Postgraduate,Computer Science,262732,2024/2025
SCH-000020,Timothy Auma,49533451,076373561,timothy.auma@gmail.com,1993-10-04,Female,Kiambu,Kiambu,Ting'ang'a,"House 66, Westlands Road, Lenana",10/07/2024,Pending,St. Joseph's School,Certificate,Civil Engineering,449940,2022/2023
SCH-000021,Onyango Nabwire Kamau,79769403,071359214,onyango.kamau@gmail.com,1993-08-13,Male,Nairobi,Westlands,Kangemi,"House 95, River Road Avenue, Kangundo",07-12-2025,Active,Mount Kenya University,Certificate,Business,78547,2025/2026
SCH-000022,Anna Awino Oduya,76510566,010256876,anna.oduya@gmail.com,1993-05-24,Female,Meru,Tigania East,Kiguchwa,"House 106, Lavington Drive, Thika Superhighway",18/10/2023,Active,Mount Kenya University,Postgraduate,Journalism,198506,2022/2023
SCH-000023,Maina Auma,30487706,075922827,maina.auma@outlook.com,N/A,Male,Meru,Igembe North,Antubetwe Kiongo,N/A,21-Sep-2025,Pending,St. Joseph's School,Secondary,Computer Science,107904,2024/2025
SCH-000024,Lois Kimutai,21071555,072477537,lois.kimutai@yahoo.com,1975-01-09,Female,Mombasa,Nyali,Frere Town,"House 386, Thika Superhighway Road, Lenana",01-Mar-2023,Pending,Coast Institute of Technology,Certificate,Architecture,123024,2025/2026
SCH-000025,Jonah Wachira,85643715,072245918,,1992-12-07,Male,Uasin Gishu,Soy,Kapkures,"House 33, Argwings Kodhek Road, Lavington",09 May 2022,N/A,Eldoret National Polytechnic,Undergraduate,Public Health,313944,2024/2025
SCH-000026,Kebaso Lubianga,56091075,073650852,kebaso.lubanga@hotmail.com,1979-07-12,Male,Kiambu,Ruiru,Kahawa Sukari,"House 221, Thika Road, Likoni",2024-02-09,Active,Kenya High School,Postgraduate,Medicine,332762,2022/2023
SCH-000027,Jepkorir Mwangaolo,13537870,077335372,j.m@yahoo.com,15/04/1956,male,Machakos,Mavoko,Kinanie,"House 125, Mugumo Drive, Mombasa Road",09/06/2023,inactive,Coast Institute of Technology,SECONDARY,Agriculture,108846,2025 / 2026
