beneficiary_id,full_name,identification_number,telephone,email,date_of_birth,gender,county,sub_county,ward,address,registration_date,status,tech_track,cohort,mentor,project_area,completion_status
TECH-000001,AMOS KIPKEMOI,80722730,+254 776-952-71,NULL,,female,Bomet,Sotik,Kipsonoi,"House 364, Karen Drive, Argwings Kodhek",2025-02-06,I,,Cohort 3,Prof. Catherine Chepkorir,Logistics,Completed
TECH-000002,teresa katue,25049281,+254 719-621-18,teresa.katua@gmail.com,2001-02-17,female,Machakos,NA,Mua,"Plot 392, Lane 14, Ngong",20260127,,Data Science,NA,Dr. Grace Wanjiku,EdTech,Completed
TECH-000003,MUTISYA MLUWA,28908977,+254 765-386-04,mutisya.mulwa@gmail.com,1978-11-16,female,Kilifi,Kilifi North,Mnarani,"House 343, Kasarani Drive, Ruaraka",2026-02-03,I,Software Engineering,Cohort 3,Eng. Elijah Mwania,Fintech,Completed
TECH-000004,erick mgaka,67032586,+254 716-387-92,erick.mogaka@gmail.com,1988-09-02,male,Nairobi,,,"Plot 125, Lane 7, Kangundo",2026-07-15,A,Data Engineering,,Prof. David Kiprotich,Clean Energy,Active
TECH-000005,syombua wabomba,25125619,+254 795-160-56,syombua.wabomba@hotmail.com,1963-07-09,female,Mombasa,Kisauni,Mtopanga,"House 276, Kiambu Road Drive, Tom Mboya",2026-03-12,A,Data Engineering,Cohort 3,Dr. Jonah Kasina,EdTech,On Hold
TECH-000006,jepchumba mwikali,49585077,+254 734-128-65,jepchumba.mwikali@hotmail.com,1995-04-16,male,Nairobi,Dagoretti North,Gatina,"House 23, Ngong Avenue, Ruiru",07-04-2025,A,Cybersecurity,Cohort 3,Prof. Robert Kiema,E-Commerce,On Hold
TECH-000007,KIMEU FLORA ADOYO,56020818,+254 119-113-26,NA,1975-01-10,female,,Seme,Central Seme,"House 182, Argwings Kodhek Avenue, Limuru",2026-11-19,A,DevOps,Cohort 1,Prof. David Kiprotich,E-Commerce,Withdrawn
TECH-000008,GRACE NEKESA,69566993,+254 771-181-05,NA,NA,female,Kilifi,Kilifi South,Chasimba,"House 142, Kilimani Avenue, Parklands",2025-08-17,,Software Engineering,Cohort 1,Prof. Esther Ondieki,Fintech,Completed
TECH-000009,FLORENCE MUTWIRI KIARIE,28327026,+254 779-863-19,florence.kiarie@hotmail.com,2006-09-05,male,Kiambu,Kabete,Muguga,"Plot 86, Lane 8, Kilimani",20240806,A,Cloud Computing,Cohort 1,Prof. David Kiprotich,IoT,On Hold
TECH-000010,MWANIA NDEGWA,61793831,+254 743-158-93,mwania.ndegwa@gmail.com,1962-01-12,male,Mombasa,Jomvu,Miritini,"House 81, Likoni Street, River Road",12/09/2026,I,AI/ML,Cohort 3,Eng. Anthony Wanyonyi,Clean Energy,Withdrawn
TECH-000011,KINYA MUTUA,42292892,+254 799-349-63,kinya.mutua@outlook.com,1962-01-28,male,Nairobi,Dagoretti North,Kileleshwa,"House 4, Langata Drive, Mugumo",28/06/2026,A,Software Engineering,Cohort 1,Prof. David Kiprotich,Logistics,Active
TECH-000012,MOMANYI WACHIRA,NA,+254 714-385-42,wachiramomanyi@gmail.com,02/07/1964,MALE,Meru,North Imenti,Mweronkanga,"House 453, Kilimani Rd, Kenyatta",24-Apr-2024,ACTIVE,Data Science,COHORT-01,Dr. Collins Mwania,AgriTech,On Hold
TECH-000013,kimeu njorge,26195804,+254 778-744-59,kimeu.njoroge@gmail.com,1994-06-11,male,Kilifi,NA,NULL,"House 85, Parklands Drive, Ruiru",13-Jul-2024,A,Data Engineering,NA,Dr. Grace Wanjiku,Fintech,Withdrawn
TECH-000014,OKOTH NYAMBURA WANGARI,40214458,+254 723-959-96,okoth.wangari@gmail.com,1979-03-21,male,Nairobi,Dagoretti South,Uthiru,"Plot 271, Lane 18, Waiyaki",17-Dec-2024,A,Data Science,Cohort 2,Eng. Isaac Mutua,Clean Energy,On Hold
TECH-000015,RUTH ONSONGO,46545801,NA,ruth.onsongo@yahoo.com,1964-01-23,male,Machakos,Matungulu,Matungulu West,"Plot 203, Lane 18, Athi River",30-Apr-24,A,DevOps,Cohort 2,Eng. Peter Ochieng,E-Commerce,Withdrawn
TECH-000016,kamau ombati mitei,69-224-618,+25477408763,kamau.mitei@gmail.com,1992-02-20,male,Bungoma,Kabuchai,West Nalondo,"Plot 67, Lane 10, Argwings Kodhek",12-11-2026,A,Cybersecurity,Cohort 2,Prof. Isaiah Kasina,EdTech,Withdrawn
TECH-000017,kipkorir judy wekesa,60 204 030,+254 755-469-12,kipkorir.wekesa@gmail.com,1995-11-02,female,Nairobi,Lang'ata,Mugumu-ini,"House 79, Langata Street, Lavington",09-Aug-2024,A,AI/ML,Cohort 3,Eng. Anne Momanyi,AgriTech,On Hold
TECH-000018,KARIUKI BAYA,62193650,+254 781-981-57,kariuki29@gmail.com,1973-08-16,Female,Machakos,Matungulu,Matungulu West,"house 318, langata avenue, mugumo",30 Nov 2024,active,Cloud Computing,COHORT 3,Dr. Lucy Otieno,E-Commerce,Active
TECH-000019,bosibori mukhwana,45365918,+254 794-857-49,bosibori.mukhwana@gmail.com,1951-09-16,male,Bungoma,Webuye East,Mihuu,"House 178, Ruaraka Street, Athi River",2025-06-13,A,Data Engineering,Cohort 3,Dr. Jeremiah Kioko,HealthTech,Active
TECH-000020,florence senteu,33094509,+254 761-921-13,florence.senteu@gmail.com,1989-10-09,female,Nairobi,Lang'ata,Mugumu-ini,"Plot 111, Lane 20, Limuru",27/03/2024,I,Cloud Computing,Cohort 2,Dr. Michael Gitonga,EdTech,Withdrawn
TECH-000021,mutua kipkoech,4067-6127,+254 708-723-21,mutua.kipkoech@gmail.com,1968-08-05,female,Nakuru,Kuresoi South,Keringet,"Plot 68, Lane 16, Kitisuru",29-12-2025,A,Data Science,Cohort 3,Dr. Joy Kaloki,EdTech,Withdrawn
TECH-000022,jepchumba muulwa, 48906764,+254 787-310-63,jepchumba.mulwa@hotmail.com,2003-05-18,female,Kiambu,Kabete,Muguga,"House 285, Langata Street, Mugumo",22-03-2026,A,Mobile Development,Cohort 1,Prof. James Mwangi,AgriTech,On Hold
TECH-000023,NASHIPAE CHERONO KENEI,20135658,+254 763-691-55,nashipae.kenei@outlook.com,1999-08-04,male,Uasin Gishu,Moiben,Sergoit,"Plot 65, Lane 5, Likoni",28-Nov-2024,A,Cloud Computing,Cohort 3,Prof. Victor Kioko,Clean Energy,Active
TECH-000024,daniel nyaboke mwania,79891321,+254 765-288-64,daniel.mwania@yahoo.com,2005-11-07,female,Bungoma,Kabuchai,Bwake/Luuya,"House 381, Parklands Drive, Ngong",03/20/2026,I,Software Engineering,Cohort 1,Dr. Grace Wanjiku,E-Commerce,Completed
TECH-000025,christopher adoyo kivuva,58913280,+254 116-475-59,christopher.kivuva@yahoo.com,1966-07-01,female,Bungoma,Kimilili,Maeni,"Plot 60, Lane 8, Jogoo",2024-08-12,A,Software Engineering,Cohort 3,Eng. Faith Nashipae,HealthTech,Withdrawn
TECH-000026,kariuki wamalwa,88674767,NULL,kariuki.wamalwa@gmail.com,1990-05-19,male,Kakamega,Mumias East,East Wanga,"House 401, Outering Avenue, Karen",2026-10-31,A,Cybersecurity,Cohort 1,Dr. Mary Akinyi,Clean Energy,Withdrawn
TECH-000027,OKELLO MAINGI,22330471,+254 746-926-80,okello.maingi@gmail.com,1984-02-18,male,Trans Nzoia,Cherangany,Makutano,"Plot 332, Lane 4, Parklands",18/10/2024,I,AI/ML,Cohort 2,Dr. Daniel Musyoka,IoT,On Hold
TECH-000028,MAINA PATRICK WABOMBA,88335630,+254 722-777-52,maina.wabomba@yahoo.com,2000-12-28,male,NA,Gilgil,Gilgil,"Plot 60, Lane 14, Kiambu",26 Jan 2025,NA,AI/ML,NULL,Prof. Robert Kiema,EdTech,Withdrawn
TECH-000029,CHEPNGENO KIPROP JUMA,54422964,+254 708-548-24,chepngeno15@hotmail.com,13-04-1995,Male,Meru,Igembe North,Antubetwe Kiongo,Plot 395 Lane 5 Athi River,17-Nov-26,ACTIVE,Cloud Computing,C2,Prof. Mercy Nduku,EdTech,Completed
TECH-000030,kioko tsuma,41858513,+254 113-276-80,kioko.tsuma@hotmail.com,1983-01-06,male,TRANS NZOIA,ENDEBESS,MATUMBEI,"Plot 266, Lane 3, Juja",22-Aug-2024,I,AI/ML,Cohort 1,Prof. James Mwangi,EdTech,Withdrawn
TECH-000031,ERICK ELIZABETH ROTICH,60850210,+254 111-464-10,erick@gmail.com,11-May-01,F,Meru,South Imenti,Abogeta West,"House 29, Parklands Ave, Thika",24-09-2026,Pending,Data Science,Cohort-3,Eng. Peter Ochieng,Clean Energy,Withdrawn
TECH-000032,SENTEU GRACE LUBANGA,46160937,011 537 017,senteu.lubanga@yahoo.com,1997-07-24,male,Mombasa,Likoni,Bofu,"Plot 406, Lane 10, Outering",20260530,,DevOps,NA,Eng. Anthony Wanyonyi,E-Commerce,Withdrawn
TECH-000033,adhiambo kevin rono,97702160,+254 761-819-18,adhiambo.rono@yahoo.com,1986-08-02,female,Bomet,Bomet Central,Silibwet Township,"Plot 100, Lane 17, Ngong Road",20/11/2026,I,DevOps,Cohort 1,Prof. Moses Muthoka,Logistics,Withdrawn
TECH-000034,HOPE KIPKORIR MWAMBURI,74312089,+254 109-515-17,hope.mwamburi@gmail.com,1971-12-03,female,Turkana,Turkana West,Letea,"House 459, Ngong Drive, Ruiru",27-11-2025,I,Cybersecurity,Cohort 1,Prof. Esther Ondieki,Logistics,Completed
TECH-000035,MUTHURI OJWANG KATUA,66021490,+254 751-386-83,muthuri.katua@outlook.com,1981-03-14,male,Kiambu,Githunguri,Githiga,"House 373, Likoni Avenue, Mombasa Road",23/03/2024,A,Mobile Development,Cohort 1,Dr. Grace Wanjiku,EdTech,Completed
TECH-000036,wangeci kiprop ndunge,64406548,+254 729-282-26,wangeci.ndunge@hotmail.com,1985-01-28,female,Uasin Gishu,Ainabkoi,Ainabkoi/Olare,"Plot 152, Lane 9, Lavington",2025-05-31,A,Software Engineering,Cohort 2,Dr. Allan Mumo,AgriTech,Active
TECH-000037,JUDITH OESEBE,21 928 391,+254 717-670-83,judith.osebe@yahoo.com,1987-05-24,female,Kiambu,Kabete,Kabete,"House 87, Waiyaki Road, Mugumo",27 Jun 2025,I,Cybersecurity,Cohort 1,Prof. Isaiah Kasina,AgriTech,Active
TECH-000038,judy mumo,61987708,+254 748-117-51,judy.mumo@outlook.com,1954-04-03,male,BOMET,BOMET CENTRAL,NDARAWETTA,"Plot 187, Lane 17, Uhuru",2024-01-01,A,Software Engineering,Cohort 3,Eng. Faith Nashipae,Fintech,On Hold
TECH-000039,kanana muniori,62386745,+254 765-165-95,kananamunyori@gmail.com,01-15-1958,F,Uasin Gishu,Kesses,,"Plot 428, Ln 20, Kasarani",07-Apr-2024,,AI/ML,C-1,Eng. Faith Nashipae,Logistics,On Hold
TECH-000040,PEACE CHEPKIRI,65796147,+254 745-666-57,peace.chepkirui@outlook.com,1952-04-03,male,Trans Nzoia,,Kinyoro,"House 117, Likoni Avenue, Outering",06-05-2025,I,NA,Cohort 1,Prof. Mercy Nduku,HealthTech,Completed
TECH-000041,GATHONI WANJIKU MUTWIRI,97978959,+254 776-497-00,gathoni.mutwiri@gmail.com,1999-04-07,male,Kiambu,Kabete,Kabete,"House 92, Ngong Avenue, Kileleshwa",02/22/2025,I,Software Engineering,Cohort 3,Dr. Joel Muthoka,IoT,Active
TECH-000042,KALOKI KIPCHUMBA NJUGUNA,32653778,+254 713-612-07,kaloki.njuguna@hotmail.com,1951-02-20,male,Bomet,Bomet East,Chemaner,"Plot 473, Lane 19, Likoni",NULL,A,DevOps,NULL,Dr. Lucy Otieno,HealthTech,On Hold
