beneficiary_id,full_name,id_number,mobile,email_address,date_of_birth,gender,county,sub_county,ward,postal_address,registration_date,status,training_center,training_area,skill_category,training_status,completion_status
VOC-000001,KARIUKI JEBET KOECH,52846556,+25476323060,Kariuki.koech@gmail.com,1967-01-02,F,KIAMBU,Lari,Kinale,"House 140, Kitisuru Street, Juja",13-05-2023,ACTIVE,Thika Technical Training Institute,Electrical,Technical,In Progress,Not Started
VOC-000002,CYNTHIA MWAKIDEU,52253072,+25470554429,cynthia.mwakideu@gmail.com,1975-04-27,F,Kisumu,Nyakach,South West Nyakach,"Plot 71, Lane 8, Moi Avenue",05-08-2025,INACTIVE,Meru Vocational Centre,Plumbing,Hospitality,Completed,Ongoing
VOC-000003,NAOMI  WANGARI,11550868,N/A,NA,1989-09-02,F,Kakamega,Mumias West,Mutema,"Plot 204, Lane 18, Ngong Road",20-02-2023,ACTIVE,NA,Metalwork,Technical,Dropped Out,Completed
VOC-000004,LESHAN KATUA,37281556,011707102,l.katua@hotmail.com,07/01/1981,Male,Kakamega,Butere,Marama West,House154WestlandsRdKasarani,07-08-2025,inactive,Kitale Technical College,Hairdressing,HOSPITALITY,In Progress,Completed
VOC-000005,NAMUKHULA OGERO,81751708,+25477635591,Namukhula.ogero@gmail.com,1968-02-12,F,Bungoma,WebuyeEast,Mihuu,"House 280, Tom Mboya Road, Ngong",05/03/2024,ACTIVE,Kakamega Youth Polytechnic,Plumbing,Artisan,Dropped Out,Completed
VOC-000006,NICHOLAS KHAEMBA NGANGA,27632071,+25471653404,Nicholas.nganga@gmail.com,1978-04-23,F,Trans Nzoia,Kwanza,Keiyo,"House 281, Mugumo Street, Juja",25-Feb-25,ACTIVE,Kisumu Youth Skills Centre,ICT,Technical,Dropped Out,Ongoing
VOC-000007,CHEPKIRUI JOSEPH KANGOGO,93582589,+25473223386,chepkirui.kangogo@gmail.com,1984-09-06,M,Turkana,Turkana South,Kapedo/Napeitom,"House 396, Tom Mboya Avenue, Kiambu Road",06-Dec-2024,INACTIVE,Bomet Youth Polytechnic,Tailoring,Digital,Completed,Not Started
VOC-000008,OKOTH KILONZO,21056868,+25410342892,Okoth.kilonzo@hotmail.com,1992-10-20,F,Nairobi,Lang'ata,Nyayo Highrise,"House 330, Argwings Kodhek Drive, Mombasa Road",2025-04-04,INACTIVE,Nairobi Vocational Training Centre,Hairdressing,Technical,Dropped Out,Ongoing
VOC-000009,JANE KANAMPIUU,67299091,+25478695787,jane.kanampiu@gmail.com,1950-02-06,M,N/A,Mathira,Konyu,"House 240, Westlands Street, Langata",19-11-2024,INACTIVE,Kakamega Youth Polytechnic,Catering,Digital,Dropped Out,Completed
VOC-000010,N. K. ANYANGO,14737076,+25472111441,njuguna.anyango@gmail.com,1961-11-18,M,Bomet,Bomet Central,Silibwet Township,"Plot 118, Lane 11, Ruaraka",12-27-2024,INACTIVE,Kakamega Youth Polytechnic,Electrical,Technical,Dropped Out,Certified
