canonical_person_id,canonical_full_name,canonical_national_id,canonical_phone,canonical_email,canonical_dob,canonical_gender,canonical_county,canonical_sub_county,canonical_ward,canonical_address
1,Awiti Sigei,53544301,076112940,awiti.sigei@gmail.com,1974-09-08,Female,Kisumu,Kisumu West,West Kisumu,"Plot 138, Lane 16, Thika"
2,Chepngeno Lydia Kipchumba,54589439,079498343,chepngeno.kipchumba@outlook.com,1982-11-20,Male,Nairobi,Dagoretti South,Waithaka,"Plot 161, Lane 13, Kangundo"
3,Rose Achieng Musyimi,64914054,010623557,rose.musyimi@gmail.com,1982-03-23,Male,Kakamega,Shinyalu,Isukha North,"Plot 299, Lane 17, Kangundo"
4,Gichuru Habakkuk Kiarie,79631857,078708717,gichuru.kiarie@yahoo.com,1988-08-25,Male,Machakos,Kangundo,Kangundo Central,"Plot 248, Lane 14, Kitisuru"
5,Githinji Michael Omar,96969050,071810032,githinji.omar@outlook.com,1981-09-06,Female,Kisumu,Kisumu Central,Nyalenda 'B',"Plot 409, Lane 6, Langata"
6,Thomas Mukhwana Kipkorir,45212476,010613261,thomas.kipkorir@yahoo.com,1980-10-13,Male,Uasin Gishu,Moiben,Kimumu,"House 417, Athi River Avenue, Kikuyu"
7,Syombua Onsongo,96605343,072681868,syombua.onsongo@gmail.com,1981-08-20,Female,Nairobi,Dagoretti South,Mutuini,"House 100, Ruaraka Drive, Thika"
8,Teresa Kaimenyi,76479831,078635618,teresa.kaimenyi@gmail.com,2000-06-18,Male,Kilifi,Kilifi North,Mnarani,"House 112, Juja Road, Kasarani"
9,Mutheu Anyango,86514083,075658136,mutheu.anyango@gmail.com,1974-12-10,Male,Nakuru,Kuresoi South,Amalo,"Plot 471, Lane 9, Likoni"
10,Awiti Musyoka,47342819,011486999,awiti.musyoka@gmail.com,1983-12-03,Male,Meru,Central Imenti,Mwangathia,"Plot 204, Lane 14, Kasarani"
11,Wanjiku Jebet Nduku,97241147,074266699,wanjiku.nduku@hotmail.com,1954-06-09,Female,Nairobi,Kasarani,Kamulu,"House 203, Limuru Street, Kilimani"
12,Jebet Dorothy Kebaso,21989814,011945106,jebet.kebaso@gmail.com,1998-03-13,Female,Bungoma,Kabuchai,West Nalondo,"Plot 289, Lane 6, Thika Superhighway"
13,Mwirigi Gakunyi Kangogo,13600310,010416302,mwirigi.kangogo@gmail.com,1967-07-10,Male,Machakos,Matungulu,Matungulu North,"Plot 58, Lane 20, Tom Mboya"
14,Mutinda Njuguna,63415303,078400404,mutinda.njuguna@yahoo.com,1978-12-13,Female,Nairobi,Kibra,Sarang'ombe,"Plot 43, Lane 17, Jogoo"
15,Mutua Kiprop Gikonyo,11523452,072620526,mutua.gikonyo@hotmail.com,1990-12-09,Female,Kiambu,Ruiru,Kahawa Wendani,"House 172, Ruiru Avenue, Kitisuru"
16,Githinji Aaron Kimani,58852098,076257375,githinji.kimani@gmail.com,1949-12-24,Male,Machakos,Mavoko,Muthwani,"House 469, Moi Avenue Avenue, Likoni"
17,Robert Mbaka Kariuki,85672859,011418672,robert.kariuki@outlook.com,1987-08-25,Male,Bungoma,Bumula,Bumula,"Plot 13, Lane 12, Likoni"
18,Kwamboka Sarah Muriuki,71533194,011189026,kwamboka.muriuki@yahoo.com,1985-07-03,Male,Uasin Gishu,Soy,Segero/Barsombe,"Plot 150, Lane 11, Moi Avenue"
19,Anna Gikonyo,37868462,077423284,anna.gikonyo@gmail.com,1955-11-10,Female,Kilifi,Malindi,Shella,"House 428, Lavington Street, Karen"
20,Wafula Nyambura Mwendwa,18277097,011333086,wafula.mwendwa@gmail.com,1966-11-21,Female,Nairobi,Kibra,Makina,"Plot 34, Lane 15, Kitisuru"
21,Syombua Kipkoech Masinde,14650569,079749253,syombua.masinde@yahoo.com,1976-09-16,Male,Nairobi,Dagoretti South,Uthiru,"House 103, Thika Street, Likoni"
22,Aaron Moraa Muthuri,31424479,071359896,aaron.muthuri@yahoo.com,1997-12-02,Male,Bungoma,Bumula,Kimaeti,"House 479, Tom Mboya Street, Argwings Kodhek"
23,Wachira Ondieki Wanyoike,12674689,078601207,wachira.wanyoike@gmail.com,1957-03-11,Female,Meru,North Imenti,Mweronkanga,"House 301, Kitisuru Street, Kiambu"
24,Deborah Awiti,33535297,076421727,deborah.awiti@outlook.com,1981-01-23,Male,Bomet,Bomet Central,Mutarakwa,"Plot 309, Lane 20, Kikuyu"
25,Ndinda Simiyu,57040785,074925250,ndinda.simiyu@gmail.com,2006-12-14,Female,Bomet,Bomet Central,Chesoen,"Plot 280, Lane 16, Argwings Kodhek"
26,Jeremiah Kipsang Hassan,91512791,076264735,jeremiah.hassan@gmail.com,2003-07-23,Female,Kisumu,Muhoroni,Masogo/Nyang'oma,"Plot 122, Lane 13, Waiyaki"
27,Naipanoi Gladys Muthama,98723294,074195563,naipanoi.muthama@yahoo.com,1981-07-12,Male,Kiambu,Kiambu,Riabai,"Plot 135, Lane 9, Athi River"
28,Lydia Irene Salim,86703472,010750403,lydia.salim@gmail.com,1966-03-07,Male,Kilifi,Kilifi South,Junju,"Plot 350, Lane 5, Parklands"
29,Simiyu Kaimenyi,48398732,078460572,simiyu.kaimenyi@hotmail.com,1992-10-20,Male,Mombasa,Jomvu,Miritini,"House 317, River Road Drive, Kiambu"
30,Senteu Grace Lubanga,46160937,011537017,senteu.lubanga@yahoo.com,1997-07-24,Male,Mombasa,Likoni,Bofu,"Plot 406, Lane 10, Outering"
31,Judy Rotich,26625933,010132047,judy.rotich@gmail.com,1979-08-19,Female,Kisumu,Kisumu Central,Kaloleni,"Plot 146, Lane 2, Parklands"
32,Gitonga Chepkwony,50998106,011843826,gitonga.chepkwony@yahoo.com,1979-06-15,Male,Kiambu,Limuru,Ndeiya,"Plot 300, Lane 17, River Road"
33,Irene Atieno Mulandi,90535106,076792616,irene.mulandi@gmail.com,1988-08-10,Male,Kiambu,Limuru,Limuru East,"House 299, Tom Mboya Street, Lavington"
34,Kerubo Naipanoi Cherono,66434872,011447411,kerubo.cherono@gmail.com,1977-02-16,Male,Nairobi,Kasarani,Ruai,"Plot 456, Lane 4, Kangundo"
35,Mueni Kipkemboi,10632635,077386814,mueni.kipkemboi@gmail.com,1976-03-16,Female,Bungoma,Sirisia,Namwela,"Plot 207, Lane 16, Uhuru"
36,Dorothy Ogero,32417070,071963862,dorothy.ogero@gmail.com,1966-09-20,Male,Kisumu,Seme,Central Seme,"House 184, Ngong Road Street, Ruaraka"
37,Wanjiru Wachira,65938669,077498724,wanjiru.wachira@gmail.com,1994-04-23,Male,Machakos,Machakos Town,Mua,"Plot 340, Lane 20, Kileleshwa"
38,Edith Auma,74513622,075345896,edith.auma@gmail.com,1995-10-22,Male,Mombasa,Changamwe,Changamwe,"Plot 330, Lane 10, Kenyatta"
39,Rose Awiti Mitei,60012498,075291752,rose.mitei@gmail.com,1982-07-23,Female,Nyeri,Othaya,Iria-ini,"House 357, Ruiru Street, Thika"
40,Mugo Mercy Mburu,11658959,011810859,mugo.mburu@yahoo.com,1983-04-22,Female,Nyeri,Mukurweini,Githi,"House 339, Kileleshwa Drive, Uhuru"
41,Kagwiria Wachira,83886264,010497030,kagwiria.wachira@gmail.com,1989-10-15,Female,Nairobi,Lang'ata,South C,"House 255, Kiambu Road Road, Ruiru"
42,Joseph Mbaka,90524080,077851470,joseph.mbaka@yahoo.com,1961-11-08,Female,Nairobi,Dagoretti South,Riruta,"House 192, Garden Estate Road, Thika Superhighway"
43,Wabomba Katua,71389561,010717942,wabomba.katua@hotmail.com,1995-09-24,Male,Nairobi,Lang'ata,Nyayo Highrise,"House 400, Kangundo Street, Outering"
44,George Keter,78759020,074984027,george.keter@outlook.com,1981-09-21,Male,Kiambu,Ruiru,Kahawa Wendani,"House 364, Argwings Kodhek Street, Thika"
45,Kinya Osebe,48468887,010362732,kinya.osebe@gmail.com,2002-04-25,Male,Kisumu,Kisumu Central,Nyalenda 'B',"Plot 443, Lane 18, Garden Estate"
46,Leah Olela,90985229,073913848,leah.olela@outlook.com,1991-11-03,Male,Kiambu,Ruiru,Gatong'ora,"Plot 220, Lane 9, Lavington"
47,Auma Muthama,80517332,073292800,auma.muthama@yahoo.com,1960-09-18,Female,Kakamega,Khwisero,Kisa East,"Plot 170, Lane 7, Ngong Road"
48,Zephaniah Githinji Mwango,49786693,010301863,zephaniah.mwango@gmail.com,1994-09-18,Female,Nairobi,Westlands,Parklands,"Plot 428, Lane 18, Uhuru"
49,Miriam Mutinda,68119636,075117711,miriam.mutinda@gmail.com,1990-12-20,Female,Nairobi,Kasarani,Ruai,"House 184, Lavington Road, Westlands"
50,Nicholas Kariuki,84500200,072229221,nicholas.kariuki@gmail.com,1975-09-03,Female,Nakuru,Kuresoi North,Nyota,"Plot 73, Lane 8, Outering"
51,Chepkorir Mcharo,23427820,074749609,chepkorir.mcharo@gmail.com,1991-06-20,Female,Machakos,Kangundo,Kangundo Central,"Plot 220, Lane 11, Kiambu Road"
52,Jepchumba Awino Marete,20120010,070990856,jepchumba.marete@yahoo.com,2002-07-25,Female,Uasin Gishu,Soy,Kipsomba,"House 458, Kenyatta Drive, Kasarani"
53,Zephaniah Musyoka Kamotho,86015183,079791444,zephaniah.kamotho@hotmail.com,1998-06-02,Male,Kiambu,Limuru,Limuru Central,"Plot 190, Lane 7, Kenyatta"
54,Martha Awiti,57365168,075610511,martha.awiti@outlook.com,1951-03-15,Female,Kiambu,Kiambu,Riabai,"Plot 96, Lane 20, Kiambu"
55,Chepkorir Lenguro,28082355,010637544,chepkorir.lenguro@gmail.com,1965-05-06,Male,Mombasa,Nyali,Frere Town,"Plot 111, Lane 16, Parklands"
56,Wambui Akinyi,77693989,010540186,wambui.akinyi@outlook.com,1967-10-20,Male,Nairobi,Kibra,Sarang'ombe,"House 247, Ruiru Road, Parklands"
57,Oduya Nabwire,82978342,076370328,oduya.nabwire@gmail.com,1987-10-17,Male,Nairobi,Westlands,Mountain View,"Plot 210, Lane 5, Kiambu Road"
58,Esther Mutune,28531242,010224870,esther.mutune@outlook.com,1989-03-04,Female,Kiambu,Limuru,Ndeiya,"Plot 83, Lane 1, Kilimani"
59,Amos Haggai Kilonzo,48387144,073135241,amos.kilonzo@outlook.com,1987-10-06,Male,Machakos,Kathiani,Kathiani Central,"House 45, Mugumo Drive, Limuru"
60,Eunice Mutua Senteu,64644684,078211636,eunice.senteu@yahoo.com,1976-02-26,Female,Mombasa,Kisauni,Mwakirunge,"Plot 289, Lane 8, Tom Mboya"
61,Kathure Michael Wanyoike,20204415,078287155,kathure.wanyoike@gmail.com,1998-05-06,Male,Bomet,Chepalungu,Chebunyo,"Plot 377, Lane 9, Moi Avenue"
62,Jacqueline Senteu,75874779,072901387,jacqueline.senteu@hotmail.com,1982-10-05,Female,Nairobi,Lang'ata,South C,"Plot 258, Lane 6, Lavington"
63,Nyambane Michael Wamalwa,59113508,072622998,nyambane.wamalwa@gmail.com,1991-06-28,Female,Kakamega,Ikolomani,Idakho North,"Plot 417, Lane 9, Langata"
64,Kaimenyi Mbaka,16403434,076203782,kaimenyi.mbaka@yahoo.com,2002-08-27,Female,Uasin Gishu,Ainabkoi,Ainabkoi/Olare,"Plot 185, Lane 9, Lenana"
65,Isaac Kosgei,32491607,010946952,isaac.kosgei@hotmail.com,1986-07-28,Female,Trans Nzoia,Kwanza,Kwanza,"Plot 161, Lane 10, Langata"
66,Benjamin Diana Mwaura,83609531,070127645,benjamin.mwaura@outlook.com,2005-02-09,Male,Uasin Gishu,Soy,Segero/Barsombe,"House 127, Waiyaki Drive, Langata"
67,Emily Kenei,51562039,075605048,emily.kenei@yahoo.com,1969-06-14,Female,Kiambu,Githunguri,Githunguri,"House 418, Mugumo Street, Thika Superhighway"
68,Simon Timothy Rotich,60782359,073375754,simon.rotich@gmail.com,1977-10-26,Female,Machakos,Kathiani,Upper Kaewa/Iveti,"Plot 212, Lane 3, Jogoo"
69,Nabea Rose Wamalwa,11101134,073194578,nabea.wamalwa@gmail.com,1976-05-26,Male,Bungoma,Webuye East,Ndivisi,"House 42, Lavington Street, Ngong Road"
70,Harun Wandera,79946108,010318572,harun.wandera@gmail.com,1968-06-06,Male,Uasin Gishu,Soy,Kipsomba,"Plot 130, Lane 10, Ruiru"
71,Jepkorir Chepkorir,43382936,072624203,jepkorir.chepkorir@gmail.com,1997-11-02,Female,Nairobi,Kasarani,Mwiki,"Plot 65, Lane 11, Kileleshwa"
72,Faith Moses Rono,46953423,079681456,faith.rono@gmail.com,1978-05-18,Male,Nakuru,Nakuru Town East,Menengai,"House 318, Kikuyu Street, Kitisuru"
73,Musyoka Beatrice Wambui,35718350,071133362,musyoka.wambui@yahoo.com,1978-09-20,Male,Meru,Tigania East,Mikinduri,"House 311, Lenana Road, Langata"
74,Mutinda Kwamboka Gitonga,81358338,076298663,mutinda.gitonga@gmail.com,1978-03-18,Male,Meru,Buuri,Timau,"House 360, Argwings Kodhek Road, Athi River"
75,Martha Nzioka,44103265,075574379,martha.nzioka@gmail.com,1991-05-20,Male,Nairobi,Dagoretti North,Gatina,"Plot 114, Lane 11, Waiyaki"
76,Kimeu Faith Situma,74764506,072611994,kimeu.situma@outlook.com,1978-02-20,Female,Machakos,Machakos Town,Machakos Central,"Plot 400, Lane 11, Parklands"
77,Kipkorir Wachira,62731823,077889410,kipkorir.wachira@yahoo.com,1972-05-26,Male,Kakamega,Mumias West,West Wanga,"House 293, Parklands Drive, Kangundo"
78,Kinya Adoyo Mutune,25103503,010533672,kinya.mutune@gmail.com,1981-10-21,Male,Nairobi,Dagoretti South,Ngando,"Plot 320, Lane 2, Juja"
79,Kimani Silas Kipchirchir,38437423,073672967,kimani.kipchirchir@yahoo.com,1989-12-05,Female,Machakos,Kangundo,Kangundo North,"Plot 23, Lane 2, Thika Superhighway"
80,John Onsongo,81344862,071295472,john.onsongo@gmail.com,1971-12-01,Male,Nairobi,Kibra,Makina,"House 202, Ngong Road Road, Ruaraka"
81,Ojwang Nyaboke Musalia,66013532,073700727,ojwang.musalia@gmail.com,1993-06-15,Male,Kisumu,Kisumu West,Central Kisumu,"Plot 442, Lane 17, Ngong"
82,Mumo Gathoni Gichuki,92138779,079379825,mumo.gichuki@yahoo.com,1981-04-22,Male,Nairobi,Westlands,Mountain View,"House 434, Thika Avenue, Outering"
83,Rose Faith Langat,71410640,073548324,rose.langat@gmail.com,2002-07-24,Male,Nakuru,Subukia,Kabazi,"House 329, Kasarani Road, Thika Superhighway"
84,Jebiwott Adhiambo Mutisya,79386491,072586097,jebiwott.mutisya@outlook.com,1989-02-06,Female,Bungoma,Kabuchai,Mukuyuni,"Plot 231, Lane 15, Kiambu Road"
85,Elizabeth Karanja,54988861,079791567,elizabeth.karanja@hotmail.com,1988-12-02,Female,Kakamega,Butere,Marama South,"House 61, Mombasa Road Street, Kikuyu"
86,Onsongo Munyao Rimberia,16565770,072255457,onsongo.rimberia@gmail.com,1977-01-22,Male,Kisumu,Nyando,Kabonyo/Kanyagwal,"Plot 26, Lane 6, Parklands"
87,Kipkemoi Kamande,46831833,075652654,kipkemoi.kamande@gmail.com,1986-01-04,Female,Kisumu,Muhoroni,Muhoroni/Koru,"House 219, Kangundo Avenue, Mombasa Road"
88,Khaemba Wandera,92585240,076534153,khaemba.wandera@gmail.com,1995-04-01,Female,Machakos,Kangundo,Kangundo East,"Plot 158, Lane 18, Westlands"
89,Harun Marete,72071682,011953715,harun.marete@gmail.com,1989-05-19,Male,Meru,North Imenti,Mweronkanga,"House 410, Karen Avenue, Ngong Road"
90,Edith Naisula Wekesa,39009803,078417003,edith.wekesa@gmail.com,1974-04-03,Male,Kakamega,Lugari,Chekalini,"Plot 98, Lane 16, Kiambu"
91,Moses Brian Karanja,13017249,079895338,moses.karanja@gmail.com,1962-04-10,Female,Kiambu,Githunguri,Ngewa,"Plot 77, Lane 4, Jogoo"
92,Akinyi Akinyi Wamuyu,24217270,076156413,akinyi.wamuyu@gmail.com,1990-10-21,Female,Kilifi,Malindi,Malindi Town,"House 171, Argwings Kodhek Road, Waiyaki"
93,Mwende Ali,54335867,011440536,mwende.ali@gmail.com,2002-06-16,Female,Mombasa,Jomvu,Miritini,"Plot 261, Lane 4, Thika"
94,Agnes Muthama,86129797,011458823,agnes.muthama@yahoo.com,1993-02-24,Male,Bomet,Konoin,Boito,"Plot 167, Lane 15, Athi River"
95,Sharon Monica Nasimiyu,36261929,073814622,sharon.nasimiyu@hotmail.com,1995-11-10,Female,Trans Nzoia,Kiminini,Waitaluk,"House 314, Parklands Drive, Mugumo"
96,Alexander Muema Chepkirui,98917575,072597938,alexander.chepkirui@gmail.com,1993-06-27,Female,Kakamega,Butere,Marama Central,"House 37, Thika Street, Mugumo"
97,Syombua Mutisya,87569592,077987938,syombua.mutisya@outlook.com,1966-09-19,Male,Nakuru,Nakuru Town East,Menengai,"Plot 298, Lane 3, Ruiru"
98,Janet Ongaya,87036318,011447617,janet.ongaya@gmail.com,1984-05-06,Female,Nairobi,Kibra,Makina,"Plot 323, Lane 6, Kilimani"
99,Chepkoech Mutua Mwakisha,45064728,011834815,chepkoech.mwakisha@gmail.com,1993-01-11,Male,Turkana,Turkana West,Kalobeyei,"House 386, Kiambu Drive, Ruaraka"
100,Elizabeth Kenga,73698335,074252200,elizabeth.kenga@yahoo.com,1977-08-13,Male,Machakos,Yatta,Ndalani,"Plot 327, Lane 14, Kasarani"
101,Onyango Emily Kimani,23946199,010567604,onyango.kimani@gmail.com,1965-01-01,Male,Uasin Gishu,Soy,Kipsomba,"House 363, Karen Road, Ruiru"
102,Auma Masinde,61378412,076448813,auma.masinde@hotmail.com,1997-03-15,Male,Nairobi,Dagoretti North,Kileleshwa,"Plot 56, Lane 14, Ruaraka"
103,Wachira Chepkoech Mwangolo,54269149,076702553,wachira.mwangolo@gmail.com,1986-08-14,Male,Kakamega,Mumias East,East Wanga,"House 197, Langata Drive, Mugumo"
104,Kinyua Cheruiyot,50113698,011509054,kinyua.cheruiyot@hotmail.com,1972-02-21,Male,Kakamega,Matungu,Kholera,"House 13, Lavington Street, Ngong"
