canonical_person_id,canonical_national_id,programme_count,programmes
2,54589439,1,SCH
3,64914054,2,PLUS|TECH
4,79631857,1,TECH
5,96969050,1,SCH
6,45212476,2,PLUS|SCH
7,96605343,1,PLUS
8,76479831,1,TECH
9,86514083,1,TECH
10,47342819,1,SCH
11,97241147,1,PLUS
12,21989814,1,VOC
13,13600310,2,TECH|VOC
14,63415303,2,PLUS|SCH
15,11523452,2,SCH|TECH
16,58852098,1,PLUS
17,85672859,1,PLUS
18,71533194,2,SCH|TECH
19,37868462,2,PLUS|SCH
21,14650569,2,TECH|VOC
22,31424479,1,PLUS
23,12674689,3,PLUS|TECH|VOC
24,33535297,3,SCH|TECH|VOC
25,57040785,3,PLUS|SCH|TECH
26,91512791,1,SCH
27,98723294,1,PLUS
28,86703472,2,PLUS|TECH
29,48398732,1,SCH
30,46160937,2,TECH|VOC
31,26625933,3,PLUS|TECH|VOC
32,50998106,3,PLUS|SCH|VOC
33,90535106,1,VOC
34,66434872,1,SCH
35,10632635,2,SCH|VOC
36,32417070,2,TECH|VOC
37,65938669,2,TECH|VOC
38,74513622,1,TECH
39,60012498,2,SCH|TECH
40,11658959,2,PLUS|VOC
41,83886264,1,SCH
42,90524080,2,PLUS|TECH
43,71389561,1,PLUS
44,78759020,2,PLUS|SCH
45,48468887,1,PLUS
47,80517332,2,SCH|TECH
48,49786693,1,VOC
50,84500200,2,PLUS|VOC
51,23427820,2,PLUS|VOC
52,20120010,2,PLUS|TECH
54,57365168,1,TECH
55,28082355,4,PLUS|SCH|TECH|VOC
56,77693989,1,TECH
57,82978342,1,SCH
58,28531242,2,TECH|VOC
59,48387144,1,TECH
60,64644684,2,SCH|VOC
61,20204415,1,SCH
62,75874779,1,PLUS
66,83609531,1,PLUS
67,51562039,1,SCH
68,60782359,1,PLUS
69,11101134,2,PLUS|SCH
70,79946108,1,SCH
71,43382936,3,PLUS|SCH|VOC
72,46953423,3,PLUS|TECH|VOC
73,35718350,1,TECH
75,44103265,1,TECH
76,74764506,2,PLUS|VOC
77,62731823,2,PLUS|TECH
78,25103503,4,PLUS|SCH|TECH|VOC
79,38437423,1,VOC
80,81344862,2,SCH|VOC
81,66013532,3,PLUS|TECH|VOC
82,92138779,2,PLUS|SCH
83,71410640,1,TECH
84,79386491,3,PLUS|SCH|TECH
85,54988861,3,SCH|TECH|VOC
86,16565770,3,PLUS|SCH|TECH
88,92585240,2,TECH|VOC
89,72071682,1,TECH
90,39009803,2,SCH|VOC
91,13017249,1,SCH
92,24217270,1,VOC
93,54335867,2,PLUS|SCH
95,36261929,1,SCH
96,98917575,1,VOC
97,87569592,2,SCH|TECH
98,87036318,2,SCH|VOC
99,45064728,3,PLUS|SCH|TECH
100,73698335,2,PLUS|VOC
101,23946199,1,TECH
102,61378412,2,PLUS|VOC
103,54269149,3,PLUS|TECH|VOC
104,50113698,2,PLUS|VOC
105,75618337,1,TECH
106,32555403,2,PLUS|SCH
107,92147935,2,PLUS|TECH
108,82123324,3,PLUS|TECH|VOC
109,94828438,2,TECH|VOC
110,89426243,2,SCH|VOC
111,64406548,2,PLUS|TECH
112,97112459,2,PLUS|VOC
114,40438156,2,PLUS|VOC
115,81624345,1,SCH
116,88306842,2,SCH|VOC
117,69391930,1,VOC
118,50790697,1,SCH
119,57967465,1,SCH
121,51262331,2,SCH|TECH
122,77194013,1,TECH
123,28241849,1,TECH
124,32645646,1,PLUS
126,75425092,2,SCH|VOC
127,98750131,1,PLUS
128,99575241,1,VOC
129,52057523,2,TECH|VOC
130,45827376,3,PLUS|SCH|TECH
131,64627534,2,PLUS|TECH
132,25161415,1,TECH
133,94738725,2,PLUS|VOC
134,24875109,2,SCH|TECH
135,32650041,1,SCH
136,41606345,2,PLUS|VOC
137,85102924,3,SCH|TECH|VOC
138,73115555,1,SCH
139,62904575,2,PLUS|VOC
140,21970652,1,TECH
141,72213255,1,SCH
142,77571186,2,PLUS|SCH
143,90783964,3,PLUS|SCH|VOC
144,69762583,1,SCH
145,70173215,1,TECH
146,12433447,1,VOC
147,58538289,2,TECH|VOC
148,71572793,1,VOC
149,64215650,2,PLUS|SCH
150,57576607,3,PLUS|SCH|TECH
152,15406577,2,PLUS|SCH
153,70388500,2,SCH|TECH
154,34124750,1,VOC
155,32708438,1,VOC
156,88674767,1,TECH
157,38555376,2,PLUS|VOC
