programme,record_id_1,record_id_2,canonical_person_id,canonical_national_id,duplicate_type
SCH,SCH-000166,SCH-001126,1812,80957420,formatting
SCH,SCH-000546,SCH-001127,1792,72878778,near
SCH,SCH-000104,SCH-001128,2533,77699065,formatting
SCH,SCH-000675,SCH-001129,782,99363234,formatting
SCH,SCH-000535,SCH-001130,1890,61599700,near
SCH,SCH-000092,SCH-001131,2318,24569958,formatting
SCH,SCH-000066,SCH-001132,692,65798756,exact
SCH,SCH-000641,SCH-001133,922,69372702,updated
SCH,SCH-000208,SCH-001134,209,10292428,updated
SCH,SCH-000564,SCH-001135,937,52881821,near
SCH,SCH-000052,SCH-001136,2361,30793913,formatting
SCH,SCH-000715,SCH-001137,1973,56991068,near
SCH,SCH-000728,SCH-001138,249,39566459,formatting
SCH,SCH-000063,SCH-001139,2230,21646351,formatting
SCH,SCH-000500,SCH-001140,1551,96244314,exact
SCH,SCH-000314,SCH-001141,2681,79177210,updated
SCH,SCH-000403,SCH-001142,2808,64003293,updated
SCH,SCH-000724,SCH-001143,675,56814976,near
SCH,SCH-000206,SCH-001144,168,45651567,exact
SCH,SCH-000680,SCH-001145,2109,36869304,exact
SCH,SCH-000623,SCH-001146,1883,35980604,formatting
SCH,SCH-000884,SCH-001147,141,72213255,near
SCH,SCH-000135,SCH-001148,2708,68256986,near
SCH,SCH-000657,SCH-001149,282,91786040,formatting
SCH,SCH-001118,SCH-001150,1558,68964116,formatting
SCH,SCH-000314,SCH-001151,2681,79177210,near
SCH,SCH-001107,SCH-001152,646,19711151,formatting
SCH,SCH-000500,SCH-001153,1551,96244314,formatting
SCH,SCH-000111,SCH-001154,2253,84965763,formatting
SCH,SCH-000280,SCH-001155,1847,74492536,formatting
SCH,SCH-000455,SCH-001156,493,52146187,formatting
SCH,SCH-000623,SCH-001157,1883,35980604,exact
SCH,SCH-000295,SCH-001158,817,67937221,near
SCH,SCH-000519,SCH-001159,191,23346779,exact
SCH,SCH-000679,SCH-001160,2330,37406375,formatting
SCH,SCH-000742,SCH-001161,1923,21477571,near
SCH,SCH-001023,SCH-001162,2534,14305217,updated
SCH,SCH-000290,SCH-001163,255,58582114,exact
SCH,SCH-000656,SCH-001164,799,52582456,formatting
SCH,SCH-001022,SCH-001165,1049,10357092,formatting
SCH,SCH-000208,SCH-001166,209,10292428,formatting
SCH,SCH-001105,SCH-001167,1982,43777420,updated
SCH,SCH-000629,SCH-001168,2471,16927312,formatting
SCH,SCH-000312,SCH-001169,2247,80425944,near
SCH,SCH-000180,SCH-001170,357,71036929,exact
SCH,SCH-001011,SCH-001171,1123,50983865,exact
SCH,SCH-000886,SCH-001172,1674,86986647,near
SCH,SCH-000931,SCH-001173,396,15679986,formatting
SCH,SCH-000087,SCH-001174,2618,83601776,formatting
SCH,SCH-000238,SCH-001175,684,13306687,formatting
SCH,SCH-000726,SCH-001176,1824,12193862,exact
SCH,SCH-000272,SCH-001177,741,30559033,near
SCH,SCH-000002,SCH-001178,2786,90190366,near
SCH,SCH-000753,SCH-001179,2269,11991297,updated
SCH,SCH-000490,SCH-001180,2739,93792514,near
SCH,SCH-001061,SCH-001181,1114,34608805,updated
SCH,SCH-000260,SCH-001182,634,81933142,near
SCH,SCH-000070,SCH-001183,893,88387626,updated
SCH,SCH-000332,SCH-001184,2875,66772359,formatting
SCH,SCH-000010,SCH-001185,2447,83425325,exact
SCH,SCH-000806,SCH-001186,14,63415303,formatting
SCH,SCH-000660,SCH-001187,1098,90611355,exact
SCH,SCH-000515,SCH-001188,1839,65192060,updated
SCH,SCH-000771,SCH-001189,976,99571805,exact
SCH,SCH-000082,SCH-001190,1287,46102405,formatting
SCH,SCH-000475,SCH-001191,927,56268308,formatting
SCH,SCH-000697,SCH-001192,556,67054128,formatting
SCH,SCH-001125,SCH-001193,331,45109738,near
SCH,SCH-000622,SCH-001194,406,42292892,exact
SCH,SCH-000803,SCH-001195,35,10632635,formatting
SCH,SCH-000371,SCH-001196,462,51910609,near
SCH,SCH-000345,SCH-001197,1718,74354434,formatting
SCH,SCH-000333,SCH-001198,2144,41665325,formatting
SCH,SCH-000523,SCH-001199,2538,75796428,near
SCH,SCH-000187,SCH-001200,2478,14874387,updated
SCH,SCH-000640,SCH-001201,1375,49320205,formatting
SCH,SCH-000799,SCH-001202,1895,82486770,formatting
SCH,SCH-000605,SCH-001203,2218,63659879,formatting
SCH,SCH-000449,SCH-001204,1061,38790311,formatting
SCH,SCH-000699,SCH-001205,1490,36103070,near
SCH,SCH-000863,SCH-001206,2852,79630194,exact
SCH,SCH-000250,SCH-001207,1679,13856812,near
SCH,SCH-001009,SCH-001208,2807,64788573,exact
SCH,SCH-000254,SCH-001209,265,60543809,near
SCH,SCH-000908,SCH-001210,208,40317689,formatting
SCH,SCH-000029,SCH-001211,401,61846177,near
SCH,SCH-000824,SCH-001212,1878,68152649,near
SCH,SCH-000025,SCH-001213,1374,85643715,formatting
SCH,SCH-000644,SCH-001214,866,37383624,exact
SCH,SCH-000427,SCH-001215,2865,97037399,updated
SCH,SCH-000216,SCH-001216,885,39510147,formatting
SCH,SCH-000720,SCH-001217,1186,80973199,exact
SCH,SCH-000497,SCH-001218,748,52097153,exact
SCH,SCH-000822,SCH-001219,526,87368164,formatting
SCH,SCH-000897,SCH-001220,568,46167085,formatting
SCH,SCH-000544,SCH-001221,856,55161836,formatting
SCH,SCH-000464,SCH-001222,1116,87653536,exact
SCH,SCH-000386,SCH-001223,1074,84166566,near
SCH,SCH-000683,SCH-001224,2090,78479889,exact
SCH,SCH-001116,SCH-001225,39,60012498,near
SCH,SCH-000077,SCH-001226,153,70388500,formatting
SCH,SCH-000688,SCH-001227,118,50790697,near
SCH,SCH-001031,SCH-001228,1511,25851419,exact
SCH,SCH-000585,SCH-001229,2462,17773636,formatting
SCH,SCH-000642,SCH-001230,110,89426243,formatting
SCH,SCH-000685,SCH-001231,1092,95094024,near
SCH,SCH-000288,SCH-001232,1206,28237898,updated
SCH,SCH-000174,SCH-001233,1472,71524281,exact
SCH,SCH-000657,SCH-001234,282,91786040,exact
SCH,SCH-000424,SCH-001235,900,18115148,formatting
SCH,SCH-000937,SCH-001236,1202,89118492,updated
SCH,SCH-000508,SCH-001237,1412,19576043,updated
SCH,SCH-000969,SCH-001238,1936,19717833,near
SCH,SCH-000457,SCH-001239,2461,89013846,near
SCH,SCH-000967,SCH-001240,1569,33851205,near
SCH,SCH-000955,SCH-001241,2340,32046483,formatting
SCH,SCH-000388,SCH-001242,268,28164926,exact
SCH,SCH-001087,SCH-001243,1503,28008622,formatting
SCH,SCH-000299,SCH-001244,2250,15200255,near
SCH,SCH-001041,SCH-001245,135,32650041,formatting
SCH,SCH-000895,SCH-001246,262,75655873,near
SCH,SCH-000238,SCH-001247,684,13306687,formatting
SCH,SCH-000686,SCH-001248,1205,53764429,near
SCH,SCH-000214,SCH-001249,2024,97670851,near
SCH,SCH-000464,SCH-001250,1116,87653536,exact
SCH,SCH-000835,SCH-001251,452,58537393,formatting
SCH,SCH-001010,SCH-001252,426,79651607,near
SCH,SCH-000716,SCH-001253,115,81624345,exact
SCH,SCH-000210,SCH-001254,2170,53771746,formatting
SCH,SCH-000221,SCH-001255,2262,24230201,exact
SCH,SCH-000471,SCH-001256,2474,67426412,updated
SCH,SCH-000914,SCH-001257,80,81344862,formatting
SCH,SCH-000237,SCH-001258,599,17170147,formatting
SCH,SCH-001037,SCH-001259,2806,59388622,formatting
SCH,SCH-000578,SCH-001260,1445,76703346,updated
SCH,SCH-001111,SCH-001261,1685,86830303,near
SCH,SCH-001125,SCH-001262,331,45109738,near
SCH,SCH-000711,SCH-001263,2156,36810554,exact
SCH,SCH-000064,SCH-001264,2980,57802228,updated
SCH,SCH-000044,SCH-001265,1248,63604794,exact
SCH,SCH-000592,SCH-001266,804,87083341,exact
SCH,SCH-000828,SCH-001267,1771,56995391,exact
SCH,SCH-000717,SCH-001268,2711,84286913,near
SCH,SCH-001081,SCH-001269,701,36252609,formatting
SCH,SCH-000912,SCH-001270,1848,55649927,formatting
SCH,SCH-000151,SCH-001271,1631,95430630,exact
SCH,SCH-000942,SCH-001272,2003,26692837,exact
SCH,SCH-000637,SCH-001273,1662,89362594,formatting
SCH,SCH-000081,SCH-001274,605,12152239,near
SCH,SCH-000182,SCH-001275,2448,77409527,near
SCH,SCH-001018,SCH-001276,2310,53158132,near
SCH,SCH-000524,SCH-001277,2194,35966874,near
SCH,SCH-000818,SCH-001278,1398,34216590,formatting
SCH,SCH-000831,SCH-001279,1627,75817532,exact
SCH,SCH-000717,SCH-001280,2711,84286913,near
SCH,SCH-000505,SCH-001281,1910,41737742,exact
SCH,SCH-000612,SCH-001282,1451,31183862,near
SCH,SCH-000289,SCH-001283,813,54698618,updated
SCH,SCH-000710,SCH-001284,998,61590666,near
SCH,SCH-001053,SCH-001285,2295,46990787,updated
SCH,SCH-000333,SCH-001286,2144,41665325,formatting
SCH,SCH-000477,SCH-001287,1324,72458202,exact
SCH,SCH-000106,SCH-001288,934,38204138,near
SCH,SCH-000175,SCH-001289,1954,30833313,updated
SCH,SCH-000772,SCH-001290,152,15406577,near
SCH,SCH-000752,SCH-001291,749,67601447,updated
SCH,SCH-001026,SCH-001292,1584,86520791,exact
SCH,SCH-000651,SCH-001293,1601,41387892,near
SCH,SCH-000628,SCH-001294,69,11101134,near
SCH,SCH-000625,SCH-001295,2898,22425993,updated
SCH,SCH-000732,SCH-001296,2483,14253979,updated
SCH,SCH-000479,SCH-001297,1728,89541250,exact
SCH,SCH-001100,SCH-001298,1187,30944246,exact
SCH,SCH-000911,SCH-001299,1989,38402180,near
SCH,SCH-000916,SCH-001300,1146,26935536,near
SCH,SCH-000660,SCH-001301,1098,90611355,formatting
SCH,SCH-000758,SCH-001302,2136,35045820,formatting
SCH,SCH-000643,SCH-001303,2251,51367965,near
SCH,SCH-000158,SCH-001304,2078,38551356,near
SCH,SCH-000571,SCH-001305,2968,40158481,near
SCH,SCH-000506,SCH-001306,2433,58052871,updated
SCH,SCH-000795,SCH-001307,582,53305731,exact
SCH,SCH-000564,SCH-001308,937,52881821,near
SCH,SCH-000259,SCH-001309,2660,74609504,updated
SCH,SCH-000122,SCH-001310,1958,23582811,exact
SCH,SCH-000829,SCH-001311,2388,18667877,near
SCH,SCH-000691,SCH-001312,2661,87943239,near
SCH,SCH-000689,SCH-001313,505,25706912,formatting
SCH,SCH-000873,SCH-001314,2563,28699996,near
SCH,SCH-000362,SCH-001315,1623,10978095,exact
SCH,SCH-000503,SCH-001316,661,36281402,near
SCH,SCH-000574,SCH-001317,1214,31034531,near
SCH,SCH-000112,SCH-001318,149,64215650,formatting
SCH,SCH-000866,SCH-001319,822,10370853,formatting
SCH,SCH-000489,SCH-001320,284,76971243,exact
SCH,SCH-000483,SCH-001321,527,26355844,near
SCH,SCH-000787,SCH-001322,2767,77779642,near
SCH,SCH-000853,SCH-001323,243,85584413,near
SCH,SCH-000325,SCH-001324,2007,88399776,formatting
SCH,SCH-000795,SCH-001325,582,53305731,formatting
SCH,SCH-000999,SCH-001326,2972,88091841,formatting
SCH,SCH-000966,SCH-001327,2451,71384698,formatting
SCH,SCH-000096,SCH-001328,246,43739900,formatting
SCH,SCH-000934,SCH-001329,2774,25651239,exact
